Serie,Configuracion,capas,dropout,ventana,unidades,lr,PerdidaEntrenamiento,ValMae,ValRmse
Total_Consistent,LstmSimple,1,0.0,12,32,0.01,0.010342,130911.21,170725.36
Total_Consistent,LstmSimple,1,0.0,12,32,0.001,0.015492,127073.76,171763.52
Total_Consistent,LstmSimple,1,0.0,12,64,0.01,0.00242,184990.91,232068.17
Total_Consistent,LstmSimple,1,0.0,12,64,0.001,0.010567,165490.32,217779.1
Total_Consistent,LstmSimple,1,0.0,24,32,0.01,0.015703,167917.26,209554.29
Total_Consistent,LstmSimple,1,0.0,24,32,0.001,0.018699,148063.35,189861.53
Total_Consistent,LstmSimple,1,0.0,24,64,0.01,0.005064,151634.78,189956.12
Total_Consistent,LstmSimple,1,0.0,24,64,0.001,0.017329,198015.4,246285.81
Total_Consistent,LstmApilado,2,0.2,12,32,0.01,0.009761,141649.24,191008.04
Total_Consistent,LstmApilado,2,0.2,12,32,0.001,0.010682,153690.59,203864.27
Total_Consistent,LstmApilado,2,0.2,12,64,0.01,0.006765,164819.14,212254.91
Total_Consistent,LstmApilado,2,0.2,12,64,0.001,0.010129,153842.74,206250.05
Total_Consistent,LstmApilado,2,0.2,24,32,0.01,0.010739,208016.45,255826.25
Total_Consistent,LstmApilado,2,0.2,24,32,0.001,0.018284,198277.19,247125.16
Total_Consistent,LstmApilado,2,0.2,24,64,0.01,0.012587,201269.64,250149.29
Total_Consistent,LstmApilado,2,0.2,24,64,0.001,0.01729,204663.79,252730.56
Via_Aerea,LstmSimple,1,0.0,12,32,0.01,0.003709,38472.38,50108.22
Via_Aerea,LstmSimple,1,0.0,12,32,0.001,0.008372,52956.69,71767.25
Via_Aerea,LstmSimple,1,0.0,12,64,0.01,0.001133,34196.06,50027.11
Via_Aerea,LstmSimple,1,0.0,12,64,0.001,0.005957,51154.24,70770.25
Via_Aerea,LstmSimple,1,0.0,24,32,0.01,0.001373,44544.99,54428.34
Via_Aerea,LstmSimple,1,0.0,24,32,0.001,0.014797,58602.18,73034.52
Via_Aerea,LstmSimple,1,0.0,24,64,0.01,0.000373,29125.75,44554.84
Via_Aerea,LstmSimple,1,0.0,24,64,0.001,0.011205,66854.85,84425.49
Via_Aerea,LstmApilado,2,0.2,12,32,0.01,0.004506,39402.07,54248.25
Via_Aerea,LstmApilado,2,0.2,12,32,0.001,0.006952,49458.64,69422.2
Via_Aerea,LstmApilado,2,0.2,12,64,0.01,0.005239,41926.97,61284.65
Via_Aerea,LstmApilado,2,0.2,12,64,0.001,0.00622,52545.93,72871.55
Via_Aerea,LstmApilado,2,0.2,24,32,0.01,0.001654,55145.17,75138.31
Via_Aerea,LstmApilado,2,0.2,24,32,0.001,0.011506,64568.18,82023.08
Via_Aerea,LstmApilado,2,0.2,24,64,0.01,0.006974,60326.53,77446.73
Via_Aerea,LstmApilado,2,0.2,24,64,0.001,0.011104,65013.77,82894.07
