Fecha,Real,Pred_Catch22_Multistep,Pred_Catch22_OneStep
2021-05-01,73873.0,63749.07157660388,63749.082
2021-06-01,95146.0,64663.82837238257,64644.527
2021-07-01,97594.66433359256,65994.59885686771,66229.19
2021-08-01,72327.0,67492.84125841585,68470.516
2021-09-01,67022.99999999997,69525.54830468862,71166.766
2021-10-01,83528.0,72685.04351510537,74552.23
2021-11-01,98578.0,76413.77892380844,78627.29
2021-12-01,223569.1278011966,77890.77105298058,80327.68
2022-01-01,134303.0,79066.22666162337,84056.195
2022-02-01,193903.6,77699.9899569913,84587.41
2022-03-01,227886.0,79061.15959113075,90004.92
2022-04-01,292648.0,77795.38705158864,95495.164
2022-05-01,260013.0,78606.81227029319,104689.17
2022-06-01,269366.0,79175.92153652545,110942.62
2022-07-01,306246.0,79829.141554294,118412.945
2022-08-01,297602.0,80509.07171109336,127410.7
2022-09-01,246464.0,81238.75604844034,136579.89
2022-10-01,281938.0,81973.36343102045,149050.58
2022-11-01,318693.0,82544.7901946098,211234.88
2022-12-01,400266.0,82826.582161385,261437.69
2023-01-01,258166.18821264655,82988.37490060259,211951.17
2023-02-01,198751.85766927944,83064.56426286748,226259.66
2023-03-01,251839.50267324003,83272.75932204843,297592.25
2023-04-01,283179.2556557846,83380.43784331779,294951.84
2023-05-01,213191.0389184069,83653.33952362146,264330.6
2023-06-01,224580.17382775573,83900.32975042413,261074.4
2023-07-01,257626.95044792976,84146.57366451861,357651.53
2023-08-01,264514.08794636687,84379.85530525987,328159.47
2023-09-01,218486.47810497988,84595.99794012304,279520.06
2023-10-01,164499.38846570507,84781.00493252772,213106.72
2023-11-01,255894.2762344005,84920.2249856232,310074.0
2023-12-01,327097.61316611955,85020.54512545366,348165.66
2024-01-01,292731.8668067316,85107.8113394931,265179.3
2024-02-01,265990.67321318097,85194.34433402972,203181.42
2024-03-01,322310.3940022896,85288.96892950805,293024.8
2024-04-01,240988.81729405135,85381.45933250498,301046.2
2024-05-01,238807.9548151027,85483.44230942217,241591.58
2024-06-01,234781.22686199367,85577.70029514909,236674.9
2024-07-01,266974.95506929053,85665.45095778859,272920.28
2024-08-01,282101.83101094456,85744.88743499448,285028.53
2024-09-01,215658.8098341591,85815.32888008558,248307.11
2024-10-01,249665.7008373391,85875.71474342389,215453.08
2024-11-01,302674.076910829,85926.98773579874,307037.1
2024-12-01,361749.6884796847,85972.4735313836,314799.66
2025-01-01,289543.5982553855,86015.9167869249,278061.66
2025-02-01,254428.88643334265,86058.53517052556,288340.34
2025-03-01,278538.2509841704,86100.4203346234,337904.38
2025-04-01,300287.6910735994,86140.7605004832,283477.47
2025-05-01,247981.9259720942,86179.49020207788,265423.4
2025-06-01,254190.0961535216,86214.94660232076,247520.5
2025-07-01,283388.6987866118,86247.35228570376,306273.9
2025-08-01,293780.5243930469,86276.58941337818,301716.78
2025-09-01,218069.51122057904,86302.85438342516,269724.3
2025-10-01,255920.93232213068,86326.44833956905,253603.5
2025-11-01,310585.5201071752,86347.93428964238,341082.28
2025-12-01,365573.0218067979,86368.00617353171,351716.94
2026-01-01,300664.07527322107,86387.13534663174,300047.1
2026-02-01,236844.11361811563,86405.33490214784,278669.9
2026-03-01,291160.36570034793,86422.59174687462,334187.4
2026-04-01,260951.04561236835,86438.774948758,306020.75
2026-05-01,241312.2952590584,86456.38531003078,260283.16
2026-06-01,245687.58097717003,86473.24935859533,268459.7
