Fecha,Real,Pred_Catch22_Multistep,Pred_Catch22_OneStep
2021-05-01,59518.0,-4411.816468745471,-4411.823
2021-06-01,75987.0,-8194.312731027605,37111.145
2021-07-01,71180.0,8707.299897708,59453.24
2021-08-01,55680.0,24580.2576147616,69657.71
2021-09-01,46047.99999999996,32089.562506914146,67802.42
2021-10-01,53420.0,32876.52840444446,62742.43
2021-11-01,72673.0,32025.386906951673,63358.94
2021-12-01,122254.0,32158.680823892362,75170.4
2022-01-01,97752.0,32677.745831787593,94995.67
2022-02-01,84575.0,32696.742934852846,71978.67
2022-03-01,106141.0,35261.098616480835,88745.77
2022-04-01,124782.0,38781.35419732333,95238.16
2022-05-01,111839.0,41221.537010014064,104791.266
2022-06-01,125316.0,43069.925594508655,102749.625
2022-07-01,131458.0,44564.398758530624,128794.76
2022-08-01,108896.0,46077.2265661955,121733.9
2022-09-01,103209.0,47815.2199881971,101034.16
2022-10-01,122939.0,49765.42666742207,115963.19
2022-11-01,131410.0,51824.74359029533,142649.34
2022-12-01,158463.0,53604.445290416494,147467.44
2023-01-01,76401.0,55013.265013933196,126132.97
2023-02-01,75406.0,56371.53678041698,90059.73
2023-03-01,92733.0,58022.943554431215,148115.69
2023-04-01,79354.0,59958.143882185235,43950.836
2023-05-01,71802.0,61839.841877460494,76839.64
2023-06-01,87780.0,63658.49912810327,78686.18
2023-07-01,99032.0,65520.94209864737,86483.59
2023-08-01,79152.0,67366.46071842314,75693.125
2023-09-01,67306.0,69064.19022363426,64815.0
2023-10-01,59326.0,70627.49564605953,69376.81
2023-11-01,89140.0,72173.47811150552,87001.94
2023-12-01,108408.0,73662.66153663398,96483.02
2024-01-01,96039.0,74900.84497547151,68993.23
2024-02-01,98871.0,75898.65480065347,75250.86
2024-03-01,108491.0,76934.08367317916,82989.0
2024-04-01,87857.0,78090.13547462226,93406.35
2024-05-01,87997.0,79130.6008538604,92496.93
2024-06-01,104464.0,79818.81089025737,112826.9
2024-07-01,110379.0,80202.56081324817,115871.95
2024-08-01,88635.0,80579.5109832287,90920.78
2024-09-01,69269.0,81114.82505607606,79797.01
2024-10-01,81187.0,81680.9865601659,81001.73
2024-11-01,97137.0,82062.33546692134,88234.664
2024-12-01,113027.0,82153.16140919925,100158.8
2025-01-01,101124.0,82051.80288398267,105367.016
2025-02-01,92703.0,81990.69889658691,87004.03
2025-03-01,107244.0,82128.68229836227,94538.02
2025-04-01,93466.0,82333.66905945541,77574.82
2025-05-01,87753.0,82208.1221714616,64825.746
2025-06-01,99411.0,81577.68658822776,103927.06
2025-07-01,117361.0,80896.71711641552,129066.31
2025-08-01,90643.0,80827.28460395338,102930.75
2025-09-01,70416.0,81391.70161968471,78335.7
2025-10-01,90000.0,81847.84780955316,92767.58
2025-11-01,111567.0,81489.32731497289,97470.13
2025-12-01,127283.0,80620.70341801645,115926.86
2026-01-01,113435.0,80410.72704505922,106773.69
2026-02-01,106821.0,81480.27660924198,92461.305
2026-03-01,127540.0,83156.22345739604,116601.98
2026-04-01,102029.0,84033.626069963,98772.45
2026-05-01,95804.0,83467.81158775093,78330.11
2026-06-01,98211.0,82790.43426132204,120058.29
