Fecha,Real,Pred_Autoregresivo,Pred_OneStep
2021-05-01,73873.0,60691.39240473539,60691.395
2021-06-01,95146.0,64368.38346566895,70345.87
2021-07-01,97594.66433359256,68278.57760811134,80063.91
2021-08-01,72327.0,68846.65251111642,77802.78
2021-09-01,67022.99999999997,68921.0284644324,68100.625
2021-10-01,83528.0,69769.16048449623,72461.555
2021-11-01,98578.0,71328.83620581526,82376.29
2021-12-01,223569.1278011966,72355.66429327746,85500.62
2022-01-01,134303.0,73020.63546289902,124351.93
2022-02-01,193903.6,72941.17934588502,80569.7
2022-03-01,227886.0,73388.66582708918,122691.26
2022-04-01,292648.0,73560.415949019,137394.1
2022-05-01,260013.0,73953.50016175596,151726.92
2022-06-01,269366.0,74406.41377660143,147991.55
2022-07-01,306246.0,74802.31302850097,171626.77
2022-08-01,297602.0,75079.00519177003,193982.55
2022-09-01,246464.0,75318.27042738242,198204.5
2022-10-01,281938.0,75571.9054559293,205193.61
2022-11-01,318693.0,75824.27699015437,245537.17
2022-12-01,400266.0,76036.79280711971,260572.94
2023-01-01,258166.18821264655,76209.79987676864,252890.2
2023-02-01,198751.85766927944,76359.67125246291,252556.98
2023-03-01,251839.50267324003,76510.96978754658,300832.94
2023-04-01,283179.2556557846,76656.38947340239,335932.16
2023-05-01,213191.0389184069,76794.22164672469,274292.66
2023-06-01,224580.17382775573,76920.32885460478,233979.6
2023-07-01,257626.95044792976,77033.86003869119,297648.78
2023-08-01,264514.08794636687,77136.3732904274,319307.78
2023-09-01,218486.47810497988,77231.08299174086,274862.1
2023-10-01,164499.38846570507,77319.52104766424,264709.62
2023-11-01,255894.2762344005,77401.0982639542,301994.1
2023-12-01,327097.61316611955,77475.25817938097,316141.38
2024-01-01,292731.8668067316,77542.90422511761,245927.22
2024-02-01,265990.67321318097,77605.44392074543,222856.56
2024-03-01,322310.3940022896,77663.80688384832,269111.25
2024-04-01,240988.81729405135,77717.97347461818,298462.4
2024-05-01,238807.9548151027,77767.86513382258,245802.88
2024-06-01,234781.22686199367,77813.75681877504,264836.3
2024-07-01,266974.95506929053,77855.91694018643,273858.16
2024-08-01,282101.83101094456,77894.85613306765,265630.88
2024-09-01,215658.8098341591,77930.86244793763,249367.14
2024-10-01,249665.7008373391,77964.07991005587,252710.36
2024-11-01,302674.076910829,77994.7572903251,318247.97
2024-12-01,361749.6884796847,78023.0517072102,310021.8
2025-01-01,289543.5982553855,78049.12027917607,271027.84
2025-02-01,254428.88643334265,78073.25105674166,270274.2
2025-03-01,278538.2509841704,78095.56187875565,306701.7
2025-04-01,300287.6910735994,78116.17713066938,300127.22
2025-05-01,247981.9259720942,78135.16882511263,273004.6
2025-06-01,254190.0961535216,78152.73336016647,252271.77
2025-07-01,283388.6987866118,78168.97548147419,290723.25
2025-08-01,293780.5243930469,78183.93446865199,302834.44
2025-09-01,218069.51122057904,78197.78053337017,275155.53
2025-10-01,255920.93232213068,78210.55295524496,276179.97
2025-11-01,310585.5201071752,78222.40230613854,342813.75
2025-12-01,365573.0218067979,78233.30239964009,328276.66
2026-01-01,300664.07527322107,78243.39071440639,270185.34
2026-02-01,236844.11361811563,78252.71962325906,273011.8
2026-03-01,291160.36570034793,78261.33495241705,308161.78
2026-04-01,260951.04561236835,78269.28907470197,329328.38
2026-05-01,241312.2952590584,78276.64745614085,265510.75
2026-06-01,245687.58097717003,78283.43628314452,263457.1
